SBS-Example1	DPD-Example1
yāya devā manussā ca, sitā tiṭṭhanti <b>atthikā</b>, <br/>tarath'etaṃ visattikaṃ, khaṇo vo mā upaccagā, <br/>khaṇ'ātītā hi socanti, nirayamhi samappitā.	yāya devā manussā ca,<br/>sitā tiṭṭhanti <b>atthikā</b>,<br/>tarath'etaṃ visattikaṃ,<br/>khaṇo vo mā upaccagā,<br/>khaṇ'ātītā hi socanti,<br/>nirayamhi samappitā.
idāni pana sūriy'ālokassa <b>atthitāya</b> padīpakiccaṃ idha natthi.	dvayanissito khv'āyaṃ, kaccāna, loko yebhuyyena, <b>atthitañ</b>'c'eva natthitañ'ca. lokasamudayaṃ kho, kaccāna, yathābhūtaṃ sammappaññāya passato yā loke natthitā sā na hoti. lokanirodhaṃ kho, kaccāna, yathābhūtaṃ sammappaññāya passato yā loke <b>atthitā</b> sā na hoti.
taṃ kiṃ maññasi, rāhula, kim'<b>atthiyo</b> ādāso'ti? paccavekkhaṇattho, bhante'ti.	taṃ kiṃ maññasi, rāhula, kim'<b>atthiyo</b> ādāso'ti? paccavekkhaṇattho, bhante'ti.
ye diṭṭhim'uggayha vivādayanti, idam'eva saccan'ti ca vādayanti,<br/>te tvaṃ vadassū na hi te'dha <b>atthi</b>, vādamhi jāte paṭisenikattā.	ye diṭṭhim'uggayha vivādayanti,<br/>idam'eva saccan'ti ca vādayanti,<br/>te tvaṃ vadassū na hi te'dha <b>atthi</b>,<br/>vādamhi jāte paṭisenikattā.
evaṃ abhikkantadassāviṃ, <b>atthi</b> pañhena āgamaṃ,<br/>kathaṃ lokaṃ avekkhantaṃ, maccurājā na passati.	evaṃ abhikkantadassāviṃ,<br/><b>atthi</b> pañhena āgamaṃ,<br/>kathaṃ lokaṃ avekkhantaṃ,<br/>maccurājā na passati.
atha kho āyasmā raṭṭhapālo sakapitu nivesane n'eva dānaṃ alattha na paccakkhānaṃ, añña'd'<b>atthu</b> akkosam'eva alattha	dhī taṃ jammi jare <b>atthu</b>,<br/>dubbaṇṇakaraṇī jare,<br/>tāva manoramaṃ bimbaṃ,<br/>jarāya abhimadditaṃ.
rañño'pi kho, bhikkhave, pasenadissa kosalassa <b>atth'eva</b> aññathattaṃ atthi vipariṇāmo. evaṃ passaṃ, bhikkhave, sutavā ariyasāvako tasmim'pi nibbindati.	rañño'pi kho, bhikkhave, pasenadissa kosalassa <b>atth'eva</b> aññathattaṃ atthi vipariṇāmo. evaṃ passaṃ, bhikkhave, sutavā ariyasāvako tasmim'pi nibbindati. tasmiṃ nibbindanto agge virajjati, pag'eva hīnasmiṃ.
arahante sītībhūte, katakicce anāsave nihacca mānaṃ <b>athaddho</b>, te namasse anuttare'ti.	arahante sītībhūte, katakicce anāsave nihacca mānaṃ athaddho, te namasse anuttare'ti.
yadā dvayesu dhammesu, pāragū hoti brāhmaṇo,<br/><b>ath'assa</b> sabbe saṃyogā, atthaṃ gacchanti jānato.	yadā dvayesu dhammesu,<br/>pāragū hoti brāhmaṇo,<br/><b>ath'assa</b> sabbe saṃyogā,<br/>atthaṃ gacchanti jānato.
dandho, ānanda, udakaphusitānaṃ nipāto, <b>atha kho</b> naṃ khippam'eva parikkhayaṃ pariyādānaṃ gaccheyya.	<b>atha kho</b> bhagavā bhikkhū āmantesi, handa dāni, bhikkhave, āmantayāmi vo, vayadhammā saṅkhārā appamādena sampādethā'ti. ayaṃ tathāgatassa pacchimā vācā.
<b>atha kho</b> idaṃ, bhikkhave, brahmacariyaṃ vussati saṃvar'atthaṃ pahān'atthaṃ virāg'atthaṃ nirodh'atthan'ti.	kiñ'c'āpi te evaṃ vadeyyuṃ piyo no attā'ti <b>atha kho</b> tesaṃ appiyo attā.
kicchaṃ vat'āyaṃ loko āpanno, jāyati ca jīyati ca mīyati ca cavati ca upapajjati ca,<b> atha ca pan</b>'imassa dukkhassa nissaraṇaṃ nappajānāti jarāmaraṇassa	ye kho keci bhagavato sāvakā āraddhavīriyā viharanti, ahaṃ tesaṃ aññataro.<b> atha ca pana</b> me na anupādāya āsavehi cittaṃ vimuccati
parassa ce hi vacasā nihīno, tumo sahā hoti nihīnapañño,<br/><b>atha</b> <b>ce</b> sayaṃ vedagū hoti dhīro, na koci bālo samaṇesu atthi.	parassa ce hi vacasā nihīno,<br/>tumo sahā hoti nihīnapañño,<br/><b>atha ce</b> sayaṃ vedagū hoti dhīro,<br/>na koci bālo samaṇesu atthi.
sabbattha ve sappurisā cajanti, na kāmakāmā lapayanti santo, <br/>sukhena phuṭṭhā <b>atha vā</b> dukhena, na ucc'āvacaṃ paṇḍitā dassayanti.	sabbattha ve sappurisā cajanti,<br/>na kāmakāmā lapayanti santo,<br/>sukhena phuṭṭhā <b>atha vā</b> dukhena,<br/>na ucc'āvacaṃ paṇḍitā dassayanti.
appakā te manussesu, ye janā pāragāmino,<br/><b>atha</b>ayaṃ itarā pajā, tīram'ev'ānudhāvati.	appakā te manussesu,<br/>ye janā pāragāmino,<br/><b>atha</b>-ayaṃ itarā pajā,<br/>tīram'ev'ānudhāvati.
idam'avoca bhagavā. idaṃ vatvāna sugato <b>ath'āparaṃ</b> etad'avoca satthā	tasmiṃ pahīne tasmiṃ byantīkate <b>ath'āparaṃ</b> suvaṇṇasikat'āvasissanti.
paṇḍito'ti samaññāto, ekacariyaṃ adhiṭṭhito,<br/><b>athā'pi</b> methune yutto, mando'va parikissati.	paṇḍito'ti samaññāto,<br/>ekacariyaṃ adhiṭṭhito,<br/><b>athā'pi</b> methune yutto,<br/>mando'va parikissati.
yadā kho, āvuso, imaṃ kāyaṃ tayo dhammā jahanti, āyu usmā ca viññāṇaṃ, <b>ath'āyaṃ</b> kāyo ujjhito avakkhitto seti, yathā kaṭṭhaṃ acetanan'ti.	yadā kho, āvuso, imaṃ kāyaṃ tayo dhammā jahanti, āyu usmā ca viññāṇaṃ, <b>ath'āyaṃ</b> kāyo ujjhito avakkhitto seti, yathā kaṭṭhaṃ acetanan'ti.
sace kho pana atthi paro loko, atthi sukatadukkaṭānaṃ kammānaṃ phalaṃ vipāko, <b>ath'āhaṃ</b> kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ upapajjissāmī'ti	sace kho pana atthi paro loko, atthi sukatadukkaṭānaṃ kammānaṃ phalaṃ vipāko, <b>ath'āhaṃ</b> kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ upapajjissāmī'ti, ayam'assa paṭhamo assāso adhigato hoti.
tiṭṭhanti kho pana, bhikkhave, tatth'eva pañc'indriyāni. <b>ath'ettha</b> sutavato ariyasāvakassa avijjā pahīyati, vijjā uppajjati.	n'ete kāmā yāni citrāni loke,<br/>saṅkapparāgo purisassa kāmo,<br/>tiṭṭhanti citrāni tath'eva loke.<br/><b>ath'ettha</b> dhīrā vinayanti chandan'ti.
byādhidhammā jarādhammā, <b>atho</b> maraṇadhammino.<br/>yathā dhammā tathā sattā, jigucchanti puthujjanā.	pubbenivāsaṃ yo vedi,<br/>sagg'āpāyañ'ca passati,<br/><b>atho</b> jātikkhayaṃ patto,<br/>abhiññā vosito muni.
vadanti ve duṭṭhamanā'pi eke, <b>atho'pi</b> ve saccamanā vadanti,<br/>vādañ'ca jātaṃ muni no upeti, tasmā munī n'atthi khilo kuhiñci.	vadanti ve duṭṭhamanā'pi eke,<br/><b>atho'pi</b> ve saccamanā vadanti,<br/>vādañ'ca jātaṃ muni no upeti,<br/>tasmā munī n'atthi khilo kuhiñci.
seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'ārakkho ca pamatto, goṇo ca kiṭṭh'<b>ādo</b> aduṃ kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.	seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'ārakkho ca pamatto, goṇo ca kiṭṭha-<b>ado</b> aduṃ kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.
yo daṇḍena <b>adaṇḍesu</b>, appaduṭṭhesu dussati,<br/>dasannam'aññataraṃ ṭhānaṃ, khippam'eva nigacchati.	yo daṇḍena <b>adaṇḍesu</b>,<br/>appaduṭṭhesu dussati,<br/>dasannam'aññataraṃ ṭhānaṃ,<br/>khippam'eva nigacchati.
so imaṃ pathaviṃ sāgarapariyantaṃ <b>adaṇḍena</b> asatthena dhammena abhivijiya ajjhāvasati.	parosahassaṃ kho pan'assa puttā bhavanti sūrā vīr'aṅgarūpā parasenappamaddanā. so imaṃ pathaviṃ sāgarapariyantaṃ <b>adaṇḍena</b> asatthena dhammena abhivijiya ajjhāvasati.
yathā āvajjanaṃ na rajjati, na dussati, na muyhati, evaṃ rajjan'ādivasena ca uppajjituṃ <b>adatvā</b> āvajjanappamāṇen'eva cittaṃ ṭhapessāmī'ti ayam'ettha attho.	yathā āvajjanaṃ na rajjati, na dussati, na muyhati, evaṃ rajjan'ādivasena ca uppajjituṃ <b>adatvā</b> āvajjanappamāṇen'eva cittaṃ ṭhapessāmī'ti ayam'ettha attho.
yācako appiyo hoti, yācaṃ <b>adadam</b>'appiyo. <br/>tasm'āhaṃ taṃ na yācāmi, mā me videssanā ahū'ti.	yass'eva bhīto na dadāti maccharī,<br/>tad'ev'<b>ādadato</b> bhayaṃ,<br/>jighacchā ca pipāsā ca,<br/>yassa bhāyati maccharī,<br/>tam'eva bālaṃ phusati,<br/>asmiṃ loke paramhi ca.
kathañ'ca, cunda, tividhaṃ kāyena asoceyyaṃ hoti? idha, cunda, ekacco pāṇ'ātipātī hoti luddo lohitapāṇi hatapahate niviṭṭho <b>aday'āpanno</b> sabbapāṇabhūtesu	kathañ'ca, cunda, tividhaṃ kāyena asoceyyaṃ hoti? idha, cunda, ekacco pāṇ'ātipātī hoti luddo lohitapāṇi hatapahate niviṭṭho <b>aday'āpanno</b> sabbapāṇabhūtesu
seyyathā'pi, bhikkhave, cakkhumā puriso āpāthagatānaṃ rūpānaṃ <b>adassanakāmo</b> assa, so nimīleyya vā aññena vā apalokeyya.	seyyathā'pi, bhikkhave, cakkhumā puriso āpāthagatānaṃ rūpānaṃ <b>adassanakāmo</b> assa, so nimīleyya vā aññena vā apalokeyya.
pheṇ'ūpamaṃ kāyam'imaṃ viditvā, marīcidhammaṃ abhisambudhāno,<br/>chetvāna mārassa papupphakāni, <b>adassanaṃ</b> maccurājassa gacche.	ṭhitena kāyena ṭhitena cetasā,<br/>tiṭṭhaṃ nisinno uda vā sayāno,<br/>etaṃ satiṃ bhikkhu adhiṭṭhahāno,<br/>labhetha pubb'āpariyaṃ visesaṃ,<br/>laddhāna pubb'āpariyaṃ visesaṃ,<br/><b>adassanaṃ</b> maccurājassa gacche'ti.
sāhu dassanam'ariyānaṃ, sannivāso sadā sukho,<br/><b>adassanena</b> bālānaṃ, niccam'eva sukhī siyā.	sāhu dassanam'ariyānaṃ,<br/>sannivāso sadā sukho,<br/><b>adassanena</b> bālānaṃ,<br/>niccam'eva sukhī siyā.
yo evarūpaṃ purisanāgaṃ purisasīhaṃ purisaājānīyaṃ purisanisabhaṃ purisadhorayhaṃ purisadantaṃ atikkamitabbaṃ maññeyya kim'aññatra <b>adassanā</b>'ti.	yo evarūpaṃ purisanāgaṃ purisasīhaṃ purisaājānīyaṃ purisanisabhaṃ purisadhorayhaṃ purisadantaṃ atikkamitabbaṃ maññeyya kim'aññatra <b>adassanā</b>'ti.
tassa dāpetvā vā <b>adāpetvā</b> vā uyyojeyya, gacch'āvuso, na me tayā saddhiṃ kathā vā nisajjā vā phāsu hoti, ekakassa me kathā vā nisajjā vā phāsu hotī'ti	yo pana bhikkhu bhikkhuṃ, eh'āvuso, gāmaṃ vā nigamaṃ vā piṇḍāya pavisissāmā'ti tassa dāpetvā vā <b>adāpetvā</b> vā uyyojeyya, gacch'āvuso, na me tayā saddhiṃ kathā vā nisajjā vā phāsu hoti
migaluddo pure āsiṃ, araññe kānane ahaṃ,<br/>disvāna taṃ devadevaṃ, tiṇamuṭṭhiṃ <b>adās</b>'ahaṃ.	so khv'āhaṃ, bhante, paṭhamaṃ dvāraṃ itth'āgārassa <b>adāsiṃ</b>. tattha itth'āgārassa dānaṃ dīyittha mama dānaṃ paṭikkami.
taṃ kiṃ maññasi ye te cakkhuviññeyyā rūpā <b>adiṭṭhā</b> adiṭṭhapubbā, na ca passasi, na ca te hoti passeyyan'ti? atthi te tattha chando vā rāgo vā pemaṃ vā'ti?	yesañ'h'etaṃ, sāriputta, aññātaṃ assa <b>adiṭṭhaṃ</b> aviditaṃ asacchikataṃ aphassitaṃ paññāya te tattha paresaṃ saddhāya gaccheyyuṃ
taṃ kiṃ maññasi ye te cakkhuviññeyyā rūpā adiṭṭhā <b>adiṭṭhapubbā</b>, na ca passasi, na ca te hoti passeyyan'ti? atthi te tattha chando vā rāgo vā pemaṃ vā'ti?	taṃ kiṃ maññasi, māluṅkyaputta, ye te cakkhuviññeyyā rūpā adiṭṭhā <b>adiṭṭhapubbā</b>, na ca passasi, na ca te hoti passeyyan'ti, atthi te tattha chando vā rāgo vā pemaṃ vā'ti? no h'etaṃ, bhante.
na diṭṭhiyā na sutiyā na ñāṇena, sīlabbatenā'pi na suddhim'āha,<br/><b>adiṭṭhiyā</b> assutiyā añāṇā, asīlatā abbatā no'pi tena,<br/>ete ca nissajja anuggahāya, santo anissāya bhavaṃ na jappe.	na diṭṭhiyā na sutiyā na ñāṇena,<br/>sīlabbatenā'pi na suddhim'āha,<br/><b>adiṭṭhiyā</b> assutiyā añāṇā,<br/>asīlatā abbatā no'pi tena,<br/>ete ca nissajja anuggahāya,<br/>santo anissāya bhavaṃ na jappe.
yo pana bhikkhu gāmā vā araññā vā <b>adinnaṃ</b> theyyasaṅkhātaṃ <b>ādiyeyya</b>	yo pana bhikkhu gāmā vā araññā vā <b>adinnaṃ</b> theyyasaṅkhātaṃ <b>ādiyeyya</b>, yathārūpe adinn'ādāne rājāno coraṃ gahetvā haneyyuṃ vā bandheyyuṃ vā pabbājeyyuṃ vā
yo pāṇam'atipāteti, musāvādañ'ca bhāsati. <br/>loke <b>adinnam</b>'ādiyati, paradārañ'ca gacchati. 	gāme vā yadi vā raññe,<br/>yaṃ paresaṃ mamāyitaṃ,<br/>theyyā <b>adinnam</b>'ādeti,<br/>taṃ jaññā vasalo iti.
yo pana bhikkhu <b>adinnaṃ</b> mukhadvāraṃ āhāraṃ āhareyya aññatra udakadantaponā, pācittiyaṃ.	yo pana bhikkhu <b>adinnaṃ</b> mukhadvāraṃ āhāraṃ āhareyya aññatra udakadantaponā, pācittiyaṃ.
taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇ'ātipātī <b>adinn'ādāyī</b> kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.	taṃ kiṃ maññasi, gāmaṇi, idh'assa puriso pāṇ'ātipātī <b>adinn'ādāyī</b> kāmesumicchācārī musāvādī pisuṇavāco pharusavāco samphappalāpī abhijjhālu byāpannacitto micchādiṭṭhiko.
sabbe te <b>adukkhā</b> anupaghātā anupāyāsā apariḷāhā sammāpaṭipannā'ti, iti vadaṃ itth'eke ussādeti.	tatra, bhikkhave, yam'idaṃ ataramānassa bhāsitaṃ, <b>adukkho</b> eso dhammo anupaghāto anupāyāso apariḷāho, sammāpaṭipadā. tasmā eso dhammo araṇo.
kiñ'ca vijānāti? sukhan'ti'pi vijānāti, dukkhan'ti'pi vijānāti, <b>adukkham'asukhan'ti'pi</b> vijānāti. vijānāti vijānātī'ti kho, āvuso, tasmā viññāṇanti vuccatī'ti.	kiñ'ca vijānāti? sukhan'ti'pi vijānāti, dukkhan'ti'pi vijānāti, <b>adukkham'asukhan'ti'pi</b> vijānāti. vijānāti vijānātī'ti kho, āvuso, tasmā viññāṇanti vuccatī'ti.
<b>adukkham'asukhavedaniyaṃ</b>, bhikkhu, phassaṃ paṭicca uppajjati adukkham'asukhā vedanā. so adukkham'asukhaṃ vedanaṃ vedayamāno adukkham'asukhaṃ vedanaṃ vedayāmī'ti pajānāti.	<b>adukkham'asukhavedaniyaṃ</b>, bhikkhu, phassaṃ paṭicca uppajjati adukkham'asukhā vedanā. so adukkham'asukhaṃ vedanaṃ vedayamāno adukkham'asukhaṃ vedanaṃ vedayāmī'ti pajānāti.
sukham'pi vedayati, dukkham'pi vedayati, <b>adukkham'asukham</b>'pi vedayati. vedayatī'ti kho, bhikkhave, tasmā vedanā'ti vuccati.	evaṃ vutte aññataro bhikkhu there bhikkhū etad'avoca, sukhā, āvuso, vedanā eko anto, dukkhā vedanā dutiyo anto, <b>adukkham'asukhā</b> vedanā majjhe, taṇhā sibbinī.
no h'idaṃ. taṃ kissa hetu? a<b>duñ'hi</b> allaṃ kaṭṭhaṃ sasnehaṃ, tañ'ca pana udake nikkhittaṃ. yāva'd'eva ca pana so puriso kilamathassa vighātassa bhāgī assā'ti.	taṃ kiṃ maññasi, sunakkhatta, api nu tassa purisassa tasmiṃ vante puna bhottu'kamyatā assā'ti? no h'etaṃ, bhante. taṃ kissa hetu'? <b>aduñ'hi</b>, bhante, vantaṃ paṭikūlasammatan'ti.
ekam'pi ce pāṇam'<b>aduṭṭhacitto</b>, mettāyati kusalī tena hoti. <br/>sabbe ca pāṇe manas'ānukampī, pahūtam'ariyo pakaroti puññaṃ.	ekam'pi ce pāṇam'<b>aduṭṭhacitto</b>,<br/>mettāyati kusalī tena hoti,<br/>sabbe ca pāṇe manasānukampī,<br/>pahūtamariyo pakaroti puññaṃ.
yad'api, bhikkhave, adoso tad'api kusalamūlaṃ, yad'api <b>aduṭṭho</b> abhisaṅkharoti kāyena vācāya manasā tad'api kusalaṃ	akkosaṃ vadhabandhañ'ca,<br/><b>aduṭṭho</b> yo titikkhati,<br/>khantībalaṃ bal'ānīkaṃ,<br/>tam'ahaṃ brūmi brāhmaṇaṃ.
seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'ārakkho ca pamatto, goṇo ca kiṭṭh'ādo <b>aduṃ</b> kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.	seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'ārakkho ca pamatto, goṇo ca kiṭṭh'ādo <b>aduṃ</b> kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.
yad'api, bhikkhave, <b>adoso</b> tad'api kusalamūlaṃ, yad'api aduṭṭho abhisaṅkharoti kāyena vācāya manasā tad'api kusalaṃ	yaṃ, bhikkhave, <b>adosa</b>pakataṃ kammaṃ <b>adosa</b>jaṃ <b>adosa</b>nidānaṃ <b>adosa</b>samudayaṃ, taṃ kammaṃ kusalaṃ taṃ kammaṃ anavajjaṃ
yo sukhaṃ dukkhato adda, dukkham'<b>addakkhi </b>sallato.<br/> adukkham'asukhaṃ santaṃ, <b>addakkhi</b> naṃ aniccato.	sataṃ eke sahassānaṃ,<br/>amanussānam'addasuṃ<br/>app'eke'anantam'<b>addakkhuṃ</b>,<br/>disā sabbā phuṭā ahuṃ.
evam'eva kho ahaṃ, bhikkhave, <b>addasaṃ</b> akusalānaṃ dhammānaṃ ādīnavaṃ okāraṃ saṃkilesaṃ, kusalānaṃ dhammānaṃ nekkhamme ānisaṃsaṃ vodānapakkhaṃ.	divāvihārā nikkhamma,<br/>gijjhakūṭamhi pabbate,<br/>nāgaṃ ogāham'uttiṇṇaṃ,<br/>nadītīramhi <b>addasaṃ</b>.
siṅgālo'pi kho, bhikkhave, <b>addasa</b> kummaṃ kacchapaṃ dūrato'va gocarapasutaṃ.	svādhippāgā bhāradvājo,<br/>sañcayassa upantikaṃ,<br/>tam<b>'addasa</b> mahābrahmā,<br/>nisinnaṃ sam'hi vesmani.
ambho purisa, na tvaṃ <b>addasa</b> manussesu itthiṃ vā purisaṃ vā ābādhikaṃ dukkhitaṃ bāḷhagilānaṃ, sake muttakarīse palipannaṃ semānaṃ, aññehi vuṭṭhāpiyamānaṃ, aññehi saṃvesiyamānan'ti?	ambho purisa, na tvaṃ <b>addasa</b> manussesu itthiṃ vā purisaṃ vā ābādhikaṃ dukkhitaṃ bāḷhagilānaṃ, sake muttakarīse palipannaṃ semānaṃ, aññehi vuṭṭhāpiyamānaṃ, aññehi saṃvesiyamānan'ti?
<b>addasā</b> kho bhagavā āyasmantaṃ cūḷapanthakaṃ avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.	<b>addasā</b> kho bhagavā āyasmantaṃ cūḷapanthakaṃ avidūre nisinnaṃ pallaṅkaṃ ābhujitvā ujuṃ kāyaṃ paṇidhāya parimukhaṃ satiṃ upaṭṭhapetvā.
duddiṭṭhaṃ vata, bho bhāradvāja, addasāma, duddiṭṭhaṃ vata, bho bhāradvāja, <b>addasāma</b>! ye mayaṃ tassa bhoto gotamassa bhūnahuno seyyaṃ addasāmā'ti.	<b>addasāma</b> kho mayaṃ, bho, taṃ bhavantaṃ gotamaṃ gacchantaṃ, <b>addasāma</b> ṭhitaṃ, <b>addasāma</b> antaragharaṃ pavisantaṃ, <b>addasāma</b> antaraghare nisinnaṃ tuṇhībhūtaṃ, <b>addasāma</b> antaraghare bhuñjantaṃ
aniccaṃ aniccato dakkhuṃ, dukkham'addakkhu dukkhato.<br/>anattani anattā'ti, asubhaṃ asubhat'<b>addasuṃ</b>.<br/>sammādiṭṭhisamādānā, sabbaṃ dukkhaṃ upaccagun'ti	anattani anattā'ti,<br/>asubhaṃ asubhat'<b>addasuṃ</b>,<br/>sammādiṭṭhisamādānā,<br/>sabbaṃ dukkhaṃ upaccagun'ti.
yo sukhaṃ dukkhato <b>adda</b>, dukkham'addakkhi sallato.<br/> adukkham'asukhaṃ santaṃ, addakkhi naṃ aniccato.	yo sukhaṃ dukkhato <b>adda</b>,<br/>dukkham'addakkhi sallato,<br/>ubhay'antarena n'āhosi,<br/>kena lokasmi kiṃ siyā.
eta'r'ahi jiṇṇo vuḍḍho mah'allako <b>addhagato</b> vayoanuppatto āsītiko me vayo vattati. app'ekad'āhaṃ, bho raṭṭhapāla, idha pādaṃ karissāmī'ti aññen'eva pādaṃ karomīti.	tena kho pana samayena brahmāyu brāhmaṇo mithilāyaṃ paṭivasati jiṇṇo vuḍḍho mahallako <b>addhagato</b> vayoanuppatto, vīsavassasatiko jātiyā, tiṇṇaṃ vedānaṃ pāragū
duppabbajjaṃ durabhiramaṃ, durāvāsā gharā dukhā,<br/>dukkho'samānasaṃvāso, dukkh'ānupatit'<b>addhagū</b>,<br/>tasmā na c'<b>addhagū</b> siyā, na ca dukkh'ānupatito siyā.	duppabbajjaṃ durabhiramaṃ,<br/>durāvāsā gharā dukhā,<br/>dukkhosamānasaṃvāso,<br/>dukkh'ānupatit'<b>addhagū</b>,<br/>tasmā na c'<b>addhagū</b> siyā,<br/>na ca dukkh'ānupatito siyā.
evam'etaṃ, gahapati, evam'etaṃ, gahapati! āturo h'āyaṃ, gahapati, kāyo <b>addhabhūto</b> pariyonaddho.	evam'etaṃ, gahapati, evam'etaṃ, gahapati! āturo h'āyaṃ, gahapati, kāyo <b>addhabhūto</b> pariyonaddho.
orena ce māso seso gimhānan'ti vassikasāṭikacīvaraṃ pariyeseyya, oren'<b>addhamāso</b> seso gimhānan'ti katvā nivāseyya, nissaggiyaṃ pācittiyaṃ.	māso seso gimhānan'ti, bhikkhunā vassikasāṭikacīvaraṃ pariyesitabbaṃ, <b>addhamāso</b> seso gimhānan'ti katvā nivāsetabbaṃ.
evam'etaṃ, gahapati, evam'etaṃ, gahapati! āturo h'āyaṃ, gahapati, kāyo <b>addha</b>bhūto pariyonaddho.	evam'etaṃ, gahapati, evam'etaṃ, gahapati! āturo h'āyaṃ, gahapati, kāyo <b>addha</b>bhūto pariyonaddho.
ettha dāni, māluṅkyaputta, kiṃ dahare bhikkhū vakkhāma yatra hi nāma tvaṃ, bhikkhu, jiṇṇo vuddho mah'allako <b>addha</b>gato vayoanuppatto saṃkhittena ovādaṃ yācasī'ti.	na hi bhavaṃ gotamo brāhmaṇe jiṇṇe vuḍḍhe mahallake <b>addha</b>gate vayoanuppatte abhivādeti vā paccuṭṭheti vā āsanena vā nimanteti.
sīhapubb'<b>addha</b>kāyo kho pana so bhavaṃ gotamo, idam'pi tassa bhoto gotamassa mahāpurisassa mahāpurisalakkhaṇaṃ bhavati.	sīhapubb'<b>addha</b>kāyo kho pana so bhavaṃ gotamo, idam'pi tassa bhoto gotamassa mahāpurisassa mahāpurisalakkhaṇaṃ bhavati.
gilānasamayo, cīvaradānasamayo, cīvarakārasamayo, <b>addhānagamana</b>samayo, nāv'ābhiruhanasamayo, mahāsamayo, samaṇabhattasamayo.	tatth'āyaṃ samayo, gilānasamayo, cīvaradānasamayo, cīvarakārasamayo, <b>addhānagamana</b>samayo, nāv'ābhiruhanasamayo, mahāsamayo, samaṇabhattasamayo, ayaṃ tattha samayo.
gilānasamayo, cīvaradānasamayo, cīvarakārasamayo, <b>addhānagamanasamayo</b>, nāv'ābhiruhanasamayo, mahāsamayo, samaṇabhattasamayo.	tatth'āyaṃ samayo, gilānasamayo, cīvaradānasamayo, cīvarakārasamayo, <b>addhānagamanasamayo</b>, nāv'ābhiruhanasamayo, mahāsamayo, samaṇabhattasamayo, ayaṃ tattha samayo.
seyyathā'pi, bhikkhave, puriso <b>addhānamagga</b>ppaṭipanno. so passeyya mahantaṃ udakaaṇṇavaṃ, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ.	seyyathāpi, āvuso, puriso ābādhiko dukkhito bāḷhagilāno <b>addhānamagga</b>ppaṭipanno. tassa purato'pi'ssa dūre gāmo pacchato'pi'ssa dūre gāmo.
seyyathā'pi, bhikkhave, puriso <b>addhānamaggappaṭipanno</b>. so passeyya mahantaṃ udakaaṇṇavaṃ, orimaṃ tīraṃ sāsaṅkaṃ sappaṭibhayaṃ, pārimaṃ tīraṃ khemaṃ appaṭibhayaṃ.	evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā antarā ca rājagahaṃ antarā ca nāḷandaṃ <b>addhānamaggappaṭipanno</b> hoti mahatā bhikkhusaṅghena saddhiṃ pañcamattehi bhikkhusatehi
paṭhamena vayasā anikīḷitāvino kāmesu yāvajīvaṃ paripuṇṇaṃ parisuddhaṃ brahmacariyaṃ caranti, <b>addhānañ</b>'ca <b>āpādentī</b>'ti?	paṭhamena vayasā anikīḷitāvino kāmesu yāvajīvaṃ paripuṇṇaṃ parisuddhaṃ brahmacariyaṃ caranti, addhānañ'ca āpādentī'ti?
kāmaṃ kāmayamānassa, tassa ce taṃ samijjhati,<br/><b>addhā</b> pītimano hoti, laddhā macco yad'icchati.	yattha kāmā nirujjhanti, ye ca kāme nirodhetvā nirodhetvā viharanti, <b>addhā</b> te āyasmanto nicchātā nibbutā tiṇṇā pāraṅ'gatā tad'aṅgenā'ti vadāmi
jātaṃ bhūtaṃ samuppannaṃ, kataṃ saṅkhatam'<b>addhuvaṃ</b>. jarāmaraṇasaṅghāṭaṃ, roganīḷaṃ pabhaṅguraṃ. āhāranettippabhavaṃ, n'ālaṃ tad'abhinandituṃ.	jātaṃ bhūtaṃ samuppannaṃ,<br/>kataṃ saṅkhatam'<b>addhuvaṃ</b>,<br/>jarāmaraṇasaṅghāṭaṃ,<br/>roganīḷaṃ pabhaṅguraṃ.
