pali_1,pos,meaning_1,family_set
sāriputtamoggallānā,masc,name of a monks; chief disciples; great disciples of the Buddha; Sāriputta and Moggallāna,names of monks; great disciples
sāḷha 1,masc,name of a layman; Visākha's grandson,names of lay disciples
sāḷha 2,masc,name of a Licchavi layman,names of lay disciples
sikhāmoggallāna,masc,name of a Brahman,names of Brahmans
sigālaka 2,masc,name of a lay disciple,names of laypeople
sigālamātar,fem,name of a nun; great disciple of the Buddha; foremost in unwavering confidence,names of nuns; great disciples
siṅgālaka 2,masc,name of a lay disciple,names of laypeople
siṅgālakamātar,fem,name of a nun; great disciple of the Buddha; foremost in unwavering confidence,names of nuns; great disciples
siṅgiya,masc,name of an arahant,names of arahants
sirivaḍḍha 1,masc,name of a Kosalan minister,names of laypeople
sirivaḍḍha 2,masc,name of a lay disciple,names of laypeople
sirīvaḍḍha,masc,name of a lay disciple,names of laypeople
siva 2,masc,name of a deity; Shiva,names of deities
sivaka,masc,name of a deity,names of deities
sīsupacālā,fem,name of a nun,names of nuns
sīsūpacālā,fem,name of a nun,names of nuns
sīvaka,masc,name of a wandering ascetic,names of ascetics
sīvali,masc,name of a monk; great disciple of the Buddha; foremost in receiving,names of monks; great disciples
sīha 2,masc,name of a military general in Vesālī,names of laypeople
sucimukhī,fem,name of female wandering ascetic,names of ascetics
sudatta,masc,name of Anāthapiṇḍika; father of Saddha,names of lay disciples; great disciples
sudassa 2,adj,beautiful to look at; epithet of a class of devas,names of deities
sudassana 2,masc,name King Pasenadi's nephew,names of Brahmans
sudassī,adj,epithet of a class of devas,names of deities
sudinna 2,masc,name of a monk notorious for the first pārājika,names of monks
suddhikabhāradvāja,masc,name of a Brahman,names of Brahmans
sunakkhatta 2,masc,name of a former monk,names of monks
sunetta,masc,name of a teacher of old,names of ascetics
sundarikabhāradvāja,masc,name of a Brahman,names of Brahmans
sundarī,fem,name of a nun,names of nuns
sundarīnandā,fem,name of a nun,names of nuns
supabbā,fem,name of a lay disciple,names of laypeople
suppagedha,masc,name of a spirit,names of deities
supparodha,masc,name of a spirit,names of deities
suppavāsā,fem,name of a female lay disciple; foremost among those who offer excellent items,names of laypeople; great disciples
subrahma 1,masc,name of a deity,names of deities
subhakiṇha 2,adj,epithet of a class of devas,names of deities
subhaṭa,masc,name of a lay disciple,names of laypeople
subhadda 1,masc,personal name of an arahant monk; last person to get ordained under the Buddha,names of monks; names of arahants
subhaddā 2,fem,name of Anāthapiṇḍika's daughter,names of laypeople
subhā,fem,name of a nun,names of nuns
subhūti 1,masc,name of a monk,names of monks
surādha,masc,personal name of an arahant monk,names of monks; names of arahants
susima 1,masc,name of a deity,names of deities
susima 2,masc,name of a monk,names of monks
susīma 1,masc,name of a deity,names of deities
susīma 2,masc,name of a monk,names of monks
suvīra,masc,name of a deity,names of deities
sūcimukhī,fem,name of female wandering ascetic,names of ascetics
sūrambaṭṭha,masc,name of a lay disciple; foremost among those with absolute faith,names of laypeople; great disciples
sūriya 1,masc,sun,astronomical terms; names of deities
sūriyavacchasā,fem,name of a female demigod,names of deities
sūleyyarucirā,masc,name of two groups of deities,names of deities
setaketu,masc,name of the Bodhisatta in Tusita heaven,names of deities
seniya 2,masc,name of an ascetic who performed the dog practice,names of ascetics
seniya 3,masc,name of a monk,names of monks; names of arahants
seyyasaka,masc,name of a monk infamous for Pācittiya 1,names of monks
serī 2.1,masc,name of a deity,names of deities
serīsaka 2,masc,name of a spirit,names of deities
sela 4,masc,personal name of an arahant monk,names of monks; names of arahants
selā,fem,name of a nun,names of nuns
soṇa 1,masc,name of a monk,names of monks; names of arahants
soṇa 2,masc,name of a layman,names of lay disciples
soṇakāyana,masc,name of a young Brahman,names of Brahmans
somā,fem,name of a nun,names of nuns
vakkali,adj,name of a monk; a former ascetic,names of monks
vaṅganta,masc,name of a Brahman; Sāriputta's father,names of Brahmans
vaṅgisa,masc,name of a monk; foremost disciple in spontaneous expression,names of monks; great disciples
vaṅgīsa,masc,name of a monk; foremost disciple in spontaneous expression,names of monks; great disciples
vacchagotta,masc,name of an ascetic,names of ascetics; names of monks; names of arahants
vacchaputta,masc,name of an ascetic,names of ascetics
vajirā,fem,name of a nun,names of nuns
vajjiyamahita,masc,name of a lay disciple,names of laypeople
vatrabhū,masc,(comm) name of Sakka; (or) epithet of Sakka,names of deities
vappa 2,masc,name of a Sakyan,names of laypeople
vayabhiññā,masc,name of two proponents of the doctrine of non-causality; Vaya and Bhiñña,names of ascetics
varadhara,masc,name of a wandering ascetic,names of ascetics
vasū,masc,name of a group of deities,names of deities
vassakāra,masc,name of a Brahman; Ajātasattu's chief minister,names of Brahmans
vassabhaññā,masc,name of two proponents of the doctrine of non-causality; Vassa and Bhañña,names of ascetics
vassabhiññā,masc,name of two proponents of the doctrine of non-causality; Vassa and Abhiñña,names of ascetics
vāmaka,masc,name of a Vedic sage,names of Brahmans
vāsudatta,masc,name of a deity,names of deities
vāseṭṭha 1,masc,name of a Vedic sage,names of ascetics
vāseṭṭha 2,masc,name of a Brahman family,family names; names of Brahmans
vijayamāhika,masc,name of a lay disciple,names of laypeople
vijayā,fem,name of a nun,names of nuns
viññāṇañcāyatanūpaga,adj,gone to the dimension of infinite consciousness; epithet of a class of devas,names of deities
vidhura,masc,name of one of Kakusandha Buddha's chief disciples,names of monks; chief disciples
vidhurasañjīva,nt,Vidhura and Sañjīva; Kakusandha Buddha's pair of chief disciples,names of monks; chief disciples
virūḷha 2,masc,name of one of the Four Great Kings,names of deities
visākha 2,masc,name of a lay disciple,names of lay disciples
visākhā 1,fem,"name of the Buddha's chief female disciple, foremost female donor to the Saṅgha",names of lay disciples; great disciples
vegabbhari,masc,name of a deity,names of deities
veghanasā,masc,name of a group of deities,names of deities
veṭambarī,masc,name of a deity,names of deities
veṇḍu,masc,name of a deity; Vishnu,names of deities
veṇḍudevā,masc,name of a group of deities,names of deities
veṇhu,masc,name of a deity; Vishnu,names of deities
veṇhū,masc,name of a group of deities,names of deities
vedehikā,fem,name of a laywoman in Sāvatthī,names of laypeople
velāma,masc,name of the Buddha in a previous incarnation,names of laypeople
vessavaṇa,masc,name of one of the Four Great Kings,names of deities
vessāmitta,masc,name of a Vedic sage,names of Brahmans
vessāmittā,masc,name of a group of demons,names of deities
vehapphala 2,adj,epithet of a class of devas,names of deities
veḷaṭṭhasīsa,masc,name of a monk,names of monks
veḷukaṇḍakiyā,fem,name of a lay disciple,names of laypeople
veḷukaṇḍakī,fem,name of a lay disciple,names of laypeople
hatthaka 1,masc,name of a layman in Āḷavī,names of lay disciples
hatthipāla,masc,name of a teacher of old,names of ascetics
harī,masc,name of a group of deities,names of deities
haliddikāni,masc,name of a householder,names of laypeople
hāragajā,masc,name of a group of deities,names of deities
hārita,masc,name of a god,names of deities
hāliddakāni,masc,name of a householder,names of laypeople
hāliddika,masc,name of a householder,names of laypeople
hāliddikāni,masc,name of a householder,names of laypeople
hemavatā,masc,name of a group of demons,names of deities
hevamata,masc,name of a spirit,names of deities
uggatasarīra,masc,name of a Brahman,names of Brahmans
araka,masc,name of a religious teacher of old,names of ascetics
migāra,masc,name of a wealthy layman,names of laypeople
meghiya,masc,name of a monk; attendant of the Buddha,names of monks
ummadantī,fem,name of the daughter of a wealthy banker,names of laypeople
bhadda 5,masc,name of a monk,names of monks
